,content,hit_count,last_hit,cost,id
0,1,1,1636708973.13369,15,45946b50-3752-433c-bf2a-4fb5b4ea8e65
1,2,1,1636708973.139498,15,9251fa5e-8194-443c-a0f0-ceaa0bf5e031
4,5,1,1636708973.144338,15,279313d9-fcd8-4fa2-b2f4-e4280489eb64
0,18.0,0.0,1636708973.146901,350.0,5afb9395-09c6-4df0-85fc-9c6bf929b5b7
0,1,2,1636708973.153733,15,7ee481f9-ddb4-43e4-820f-ae8becd78840
0,1,3,1636708973.158414,15,389d5321-6aa4-4168-bea2-2ca0d2e9d34f
0,1,4,1636708973.163095,15,80049eb0-ef0a-4b11-9206-9128a7e57dac
3,4,1,1636708973.167692,15,358c0f29-62a4-4b9b-842d-4879517c81dc
0,1,5,1636708973.172346,15,ca76ccf9-be90-447c-a796-069fa6b992fb
0,12.0,0.0,1636708973.174833,350.0,9480f985-528c-4339-b520-ea4240a39de3
1,2,2,1636708973.181053,15,725532c2-91f4-4291-92d7-6a086520cfdf
2,3,1,1636708973.185682,15,d51ddf45-ba24-49f2-a721-9969c095a66f
0,1,6,1636708973.190308,15,309d5911-f8d9-4bde-a537-76b70464f63e
0,1,7,1636708973.194955,15,e721fbce-ff6e-4ab9-8598-c7e8782fd301
0,1,8,1636708973.199562,15,f94df4ec-6f83-48d1-a7d9-803c6c47ace8
0,1,9,1636708973.204129,15,2a647f03-5b97-4137-9f5a-5fe46ae86611
6,7,1,1636708973.208728,15,b702a7fd-263c-4ab2-be94-e41ae58473a6
0,192.0,0.0,1636708973.211131,350.0,bf11466f-5299-408f-8e3e-aee222e11b0a
0,1,10,1636708973.217235,15,7de3d2bc-e252-4680-a6be-30b5ca3987ca
0,1,11,1636708973.221839,15,5294cf7c-9e18-4215-b174-b5d364dc5037
0,1,12,1636708973.226462,15,9a92aab9-abc1-4288-91e0-ad9396348e9b
6,7,2,1636708973.261647,15,8f7426e3-1841-4f4d-857d-09d7b22a1021
0,1,13,1636708973.266646,15,1823029c-6f45-4a93-85e8-bb4070931c26
0,1,14,1636708973.271449,15,cb3f9e35-e6ef-4dc4-bb5b-af1c8da7bb66
