,content,hit_count,last_hit,cost,id
2,3,342,1636709333.87804,15,cfacd541-5fc5-4be7-a9c6-eda99ad097b9
0,1,1911,1636709333.886068,15,0232d4cb-641c-4a13-8411-27bcc052e89b
3,4,200,1636709333.891979,15,470178f7-9327-4280-bd47-3e801a897df2
0,1,1912,1636709333.897704,15,ee7443bc-cd4e-4d77-b7c8-4fd22a9b9f7a
0,1,1913,1636709333.903292,15,a9b9b4c6-1b4e-4e05-aeb6-1574a298fe07
0,1,1914,1636709333.908797,15,a8eb5145-3b14-4eec-bb53-1acca006d62b
1,2,616,1636709333.91431,15,4f83d5e6-45b1-48da-b36d-98bc08ad9bf4
0,1,1915,1636709333.919821,15,726eef0c-c5c9-44fc-b744-c65659c9a50f
3,4,201,1636709333.925294,15,c11cafb3-436a-47b9-a0ef-0a7c5eeeb1d3
0,1,1916,1636709333.930817,15,87cde3cb-cae2-487e-ae18-035bb33a3c55
2,3,343,1636709333.936303,15,75ad0eee-4e05-4c32-835b-a89a88c79805
1,2,617,1636709333.941739,15,3325d39f-9526-49df-8ac7-aa9dc59e64e0
0,1,1917,1636709333.947181,15,ab3046bb-cd34-469c-be72-5364dd520cc4
1,2,618,1636709333.95263,15,e4d5b990-cb16-4ba6-8bee-2f87726d2e4d
0,1,1918,1636709333.958168,15,5037f0e3-8a47-4935-906c-7ef8c0487a8f
0,1,1919,1636709333.963671,15,b75c8f07-50d8-4ac9-a37d-6edb01d37000
5,6,123,1636709333.969113,15,cbae2f95-fb83-46bc-b64f-439d469a1cfe
8,14803.0,0.0,1636709333.980191,350.0,e23761d6-6717-466a-8b8f-b8b40d8458e6
2,3.0,344.0,1636709334.00429,15.0,c4672ca8-2391-46f0-bdcc-3f0ff6fc8c24
1,2.0,619.0,1636709334.009363,15.0,d7019617-765a-4b1a-acc4-239f03735bf8
2,3.0,345.0,1636709334.014439,15.0,c54fd1d5-44fa-4acd-9fac-f65ca7055db8
1,2.0,620.0,1636709334.019508,15.0,247a60d5-5687-4e01-bc4b-763c9467248f
8,14.0,0.0,1636709334.032031,350.0,5792c03c-cb91-4214-a78e-fd2af4ea78a5
6,7.0,83.0,1636709334.052743,15.0,47acd41a-b6b2-4651-bdb4-4c9e6866efe4
5,6.0,124.0,1636709334.057913,15.0,f62a6974-25ab-4823-82d1-0066c20e7a70
0,1.0,1920.0,1636709334.063036,15.0,718fa42c-94aa-4095-8b0d-2d2e613741af
0,1.0,1921.0,1636709334.06809,15.0,921035f0-946d-403b-bb97-144f3dba4922
0,1.0,1922.0,1636709334.073146,15.0,31534649-6faf-49b5-b013-533474fb6d74
2,3.0,346.0,1636709334.078236,15.0,534523e3-49cb-4c77-91f6-87e2778407ad
2,3.0,347.0,1636709334.083341,15.0,c646f0d3-d402-4edf-9580-ca9f55ed4aaa
0,1.0,1923.0,1636709334.088417,15.0,18306e5e-daa3-4191-bb35-2b96be1cdba7
0,1.0,1924.0,1636709334.093421,15.0,f7617e75-08f9-4e4f-bac4-4c851aa978f2
1,2.0,621.0,1636709334.098454,15.0,1b883dc5-2f73-4281-baa4-e7324b258b4d
0,1.0,1925.0,1636709334.103528,15.0,4e003eed-632b-4531-9375-461e9a6f0c80
8,175.0,0.0,1636709334.115982,350.0,f7b2c3ec-ba85-4443-8993-0ac32bc7debc
0,1.0,1926.0,1636709334.136157,15.0,d8ead91e-94c8-459e-b1e6-ce6eef01eb83
4,5.0,152.0,1636709334.141239,15.0,f956169f-2732-4fef-a143-303040bb138e
8,32.0,0.0,1636709334.153634,350.0,5b16aa8b-4c2d-4da0-831e-a3b63fd28c50
1,2.0,622.0,1636709334.171388,15.0,790c6745-caef-449f-91eb-fb3da1ce34f1
0,1.0,1927.0,1636709334.175945,15.0,f83eea38-a41a-4fd3-8fa7-2c37b56e044f
4,5.0,153.0,1636709334.180367,15.0,043cf983-913c-45ff-b911-b01f218fcd2e
3,4.0,202.0,1636709334.184711,15.0,490a20be-0661-4c92-b4f9-85fd6cc7d6a2
0,1.0,1928.0,1636709334.189049,15.0,fc118471-7233-4374-9f70-190fa7329032
1,2.0,623.0,1636709334.201527,15.0,18745c67-0401-42b1-88f0-2fe73e40d9f6
1,2.0,624.0,1636709334.205832,15.0,89475a87-ad17-407a-90d8-e032730f55fe
8,141.0,0.0,1636709334.216819,350.0,bdad34c5-7458-4386-a70a-788eb859d490
0,1.0,1929.0,1636709334.238821,15.0,2f464450-18d0-49dd-883e-b2525ec0eae2
8,11.0,0.0,1636709334.255703,350.0,38fb9295-ac88-43d3-9755-7751e6b43d3d
8,11.0,0.0,1636709334.287553,350.0,a994af67-53e6-4f08-86da-9b89d741e835
1,2.0,625.0,1636709334.311458,15.0,d4c7a844-3f9a-410b-a4bf-7026ef929433
0,1.0,1930.0,1636709334.316651,15.0,b3b2fbb1-d413-4102-82a8-855ac23610a0
0,1.0,1931.0,1636709334.321743,15.0,e0e41eb6-7c5f-49c3-8e67-626a3d2cfe01
0,1.0,1932.0,1636709334.32676,15.0,b173a684-ba6f-4498-8051-a0b31c59fcc1
3,4.0,203.0,1636709334.331771,15.0,df04c2c3-4fc7-4236-8c37-7267b0b5f739
0,1.0,1933.0,1636709334.336791,15.0,9f5e9144-2f75-42e4-92eb-ad18c704c95e
4,5.0,154.0,1636709334.341783,15.0,e24f96cf-e73d-408f-80dc-ef11d5deba0d
0,1.0,1934.0,1636709334.346809,15.0,d76a8ebc-aa65-4cfa-8a70-d3095d6161c0
1,2.0,626.0,1636709334.351906,15.0,ca61088c-baff-46a9-be08-7dd8ab8f85e2
0,1.0,1935.0,1636709334.356986,15.0,75b928c1-239f-4c1d-9189-deb00a3d3429
1,2.0,627.0,1636709334.362019,15.0,69463385-34f2-49e8-a321-210f9928cc08
7,9.0,63.0,1636709334.367021,15.0,f1d56bab-8e04-4784-94fb-1712aab16e0f
1,2.0,628.0,1636709334.371982,15.0,b7605dbe-bd06-44c7-a77d-90fae70973b4
1,2.0,629.0,1636709334.376906,15.0,caee7134-3a89-43ec-b7aa-7b1f28e9b9b2
4,5.0,155.0,1636709334.381839,15.0,dca589e3-5fa4-4622-924b-88fee68d8039
2,3.0,348.0,1636709334.386784,15.0,152e9af1-1319-4627-8cc9-eb7bf76097c0
0,1.0,1936.0,1636709334.391806,15.0,73e03403-215c-4270-a11d-9fc702dc5ba6
0,1.0,1937.0,1636709334.396791,15.0,208b45d5-7d22-4c0f-a13e-00241ce0e20f
0,1.0,1938.0,1636709334.401712,15.0,efe5caff-27e5-4858-b6ba-730ccda80d21
8,31.0,0.0,1636709334.414441,350.0,a0a79714-7acc-4449-a508-b42ea59c00a8
0,1.0,1939.0,1636709334.434714,15.0,252ef72b-5d15-4c21-9025-c8422f800d56
0,1.0,1940.0,1636709334.439826,15.0,6329be9c-c219-4386-816b-e88464e51228
2,3.0,349.0,1636709334.444817,15.0,ce5459b4-0a9a-4131-8d4a-76230b2e8564
0,1.0,1941.0,1636709334.449767,15.0,ef8c7087-e294-48f8-a501-f4df8818df07
5,6.0,125.0,1636709334.454774,15.0,b1c1a82d-6abf-4448-9bd8-12588956b25d
8,60.0,0.0,1636709334.467357,350.0,3c399a66-b0f3-4ffd-a0e7-eddd38a83312
8,15.0,0.0,1636709334.494776,350.0,dce87d1e-c0d2-42a8-9fdb-71d162d791ef
1,2.0,630.0,1636709334.514582,15.0,70020096-53b0-4b83-a0b1-5b4d7b06553e
0,1.0,1942.0,1636709334.519024,15.0,24eed1e9-9ae7-4c77-b8be-9d052283fe48
